ID Registro,ID fuente,LAT,LON,Celda,"Departamento, partido o comuna",Provincia,Espontánea,Recurso 1,Recurso 2,Fuente de variación,Sitioy/o condición,Composición florística,Composición florística simplificada (solo vegetación cultivada),Riqueza especies,PPNA (kg/ha.año),DesvEst interanual (n),DesvEst interanual (kg/ha),DesvEst espacial (kg/ha),Período evaluado (años),Inicio,Final,Cantidad de años evaluados,Edad (años),Fertilización,Tratamiento,Fertilización (N) (kg/ha.año),Fertilización  (P) (kg/ha.año),Fertilización  (S) (kg/ha.año),Fertilización  (K) (kg/ha.año),Pastoreo,Clausura,Riego,Cantidad riego (mm),Precipitación (mm),Precipitación durante el año de medición (mm/estación de crecimiento),Precipitación promedio mencionada en la fuente (mm),Precip. anual promedio según SMN interpolado (mm/año),Precipitación media anual tomada de geoportal IDESA,Taxonomía de suelo,Metodología/Comentarios,REGION,DOMINIO,UNIDAD FITOGEOGRÁFICA,Código de Unidad de Vegetación,Nombre fisionómico de Unidad de Vegetación,Nombre vulgar de Unidad de Vegetación,Excluidos del análisis
987,10110,-29.725,-65.425,16785,Departamento La Paz,CATAMARCA,Sí,Estepa,Pastizal,Sitio (promedio),"Chaco Árido, barriales","(valor promedio ponderado para tres ambientes: “monte”, “pampa salina” y “costa de salina”)",-,-,330,,,,SD,SD,SD,1,SD,SD,Control,0,0,0,0,No,SD,SD,-,,,360,503.026489,323,,"Cortes de brotes nuevos de arbustos forrajeros, y biomasa de gramíneas perennes y anuales en abril (pico de biomasa).",Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,9,Bosque de xerofitas con Aspidosperma quebracho-blanco en transicion a estepa,Chaco Arido,
4351,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,6892.9,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,69,0,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 25% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4352,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,4457.1,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,69,0,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 50% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4353,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,10930.1,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,69,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 25% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4354,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,6738.4,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,69,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 50% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4355,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,12459.1,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,138,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 25% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4356,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,8714.8,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,138,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 50% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4357,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,7195.3,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,0,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 25% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4358,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,5168.8,,,,2017-2018,2017,2018,1,2,Sí,Fertilizado,0,55,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 50% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
4359,10508,-27.65,-58.766667,29049,Departamento Capital,CORRIENTES,No,Pastura,Pastura,Fertilización y altura de corte,EEA Corrientes,Acroceras macrum,Acroceras macrum,Monofítica,3904.6,,,,2017-2018,2017,2018,1,2,No,Control,0,0,0,0,No,No,No,-,1283,,,,1340,Argiudol acuico,Tres cortes en total. Altura remanente: 25% de la altura inicial de la canopia,Neotropical,Chaqueno,Provincia Fitogeografica Chaquena,15,"Mosaico de Bosque de xerofitas, de mesofitas, Sabana y Selva de albardon",Chaco Humedo con Bosques y Canadas,
